name,cpf,age,birthday,address,state,country
Carolina Silva,073.648.259-83,53,1992-01-29,"Travessa Costa, 736
São Pedro
57995024 Peixoto da Praia / SP",Sergipe,Marianas do Norte
Liam Vasconcelos,701.645.892-01,28,1981-09-28,"Quadra de Garcia, 708
Boa União 2ª Seção
94827320 Borges de Monteiro / PE",Rondônia,Portugal
Srta. Sara Cunha,278.356.409-29,28,1992-03-16,"Passarela Mariah Pinto, 997
Dom Bosco
05973791 Abreu Verde / RO",Maranhão,São Vicente e Granadinas
Thiago da Mata,524.687.930-56,60,1964-08-20,"Lagoa da Costa, 7
Pantanal
38483219 Machado de Moraes / RJ",Alagoas,Ilhas Virgens Britânicas
Srta. Isabela Cardoso,490.375.862-10,52,2005-09-15,"Vila Henry Gabriel da Mata, 56
Nova Pampulha
59514985 Azevedo da Serra / RS",Rio Grande do Norte,Venezuela
Calebe da Mota,523.016.749-16,40,1989-02-25,"Lagoa Abreu, 87
Pindorama
18765-259 Camargo de Minas / DF",Bahia,Somália
Diego Rezende,896.207.134-78,57,1999-06-04,"Trecho Mendes
Conjunto Novo Dom Bosco
03408-653 da Luz do Norte / AM",Mato Grosso,Argentina
Dra. Helena Guerra,235.170.846-62,43,1977-04-26,"Lagoa Théo Peixoto, 22
Eymard
92393-956 Moura Paulista / BA",Espírito Santo,Reino Unido
Srta. Alana Freitas,103.254.986-60,49,1990-08-13,"Trevo Lívia Fonseca, 9
Atila De Paiva
10570-360 Leão / RR",Ceará,Tajiquistão
Sra. Luísa da Conceição,275.894.130-97,41,1997-11-07,"Loteamento de Gomes, 82
Vila Da Amizade
61824-810 Caldeira das Pedras / AM",Mato Grosso do Sul,Itália
Melina da Rocha,476.398.015-75,34,2005-03-10,"Parque Gomes, 652
Itaipu
66725-976 Ribeiro dos Dourados / PA",Maranhão,Eslováquia
Fernanda Castro,064.735.198-66,41,1986-03-27,"Alameda Caroline Souza
Álvaro Camargos
86269-141 Cavalcanti de Viana / BA",Acre,São Pedro e Miquelon
Camila Machado,328.790.546-56,31,1978-06-25,"Área de Lopes, 28
Padre Eustáquio
41483-143 Souza Verde / CE",Pernambuco,Polinésia Francesa
João Miguel Castro,852.401.367-26,51,2003-05-13,"Avenida Ravi Lucca Moreira, 184
Antonio Ribeiro De Abreu 1ª Seção
29375913 Mendonça / AL",Rondônia,Ilhas Cook
Lara Peixoto,309.251.687-77,42,1985-05-27,"Largo Vargas, 31
Esperança
49535514 Sales / RR",Espírito Santo,Dhekelia
Alexandre da Cunha,607.584.319-10,53,1997-09-08,"Pátio Ana Laura Abreu, 43
Álvaro Camargos
48638500 Leão / TO",Minas Gerais,Dinamarca
Fernando Ribeiro,163.940.875-48,29,1994-09-20,"Loteamento Joana Dias, 653
Santo Antônio
53811-345 Brito de Cavalcante / MS",Ceará,Ruanda
Augusto Nunes,856.943.702-10,48,1992-09-06,"Aeroporto Stella Pimenta, 67
Vitoria
73551815 Sales / BA",Minas Gerais,Paquistão
João Lucas Sales,672.895.340-00,19,1983-06-03,"Trecho Araújo, 37
São José
56933612 Casa Grande do Galho / AL",Paraná,Guatemala
João Pedro das Neves,621.743.805-44,38,1979-06-02,"Praça de Ramos, 73
Vila Da Paz
34194387 Guerra / MA",São Paulo,Granada
Oliver Caldeira,146.287.395-28,27,1984-06-16,"Ladeira Daniel Moura, 667
Coração Eucarístico
47778-676 Albuquerque de Marques / SP",Mato Grosso,Venezuela
Maria Eduarda Monteiro,240.397.568-00,24,1983-08-30,"Vila Rafael Azevedo
Vila Primeiro De Maio
58844757 Viana / GO",Paraíba,Marianas do Norte
Lavínia Abreu,765.382.091-30,44,1982-06-27,"Alameda Abreu, 79
Marajó
11235829 Cirino / AL",Rio Grande do Sul,Iêmen
Ana Liz Castro,594.720.136-43,59,1969-09-30,"Viaduto de da Cunha, 36
Ouro Minas
85415-742 Mendonça Verde / PE",Rio Grande do Norte,Bulgária
Léo Borges,081.736.549-48,30,1971-03-25,"Conjunto Benicio Cunha, 59
São José
70789447 Brito da Prata / MG",Mato Grosso do Sul,Índia
Isabel Correia,984.023.671-78,58,2005-03-29,"Praça Daniel Novais, 540
Mantiqueira
71441-891 Sá / RJ",Bahia,Eslováquia
Agatha Albuquerque,026.541.389-33,18,1990-09-27,"Vila Teixeira, 284
Confisco
79946824 Farias da Praia / CE",Goiás,Bélgica
Raul Jesus,169.035.478-00,57,1991-10-27,"Avenida de Aparecida, 28
Vila Santa Monica 1ª Seção
41477760 Garcia de Ferreira / AC",Goiás,Maurícia
Luana Campos,170.284.596-67,40,2005-03-28,"Distrito Otto da Rosa, 69
Primeiro De Maio
49233-503 Santos / MS",Rio Grande do Sul,Bulgária
Sra. Maria Vitória Carvalho,328.497.065-74,28,1971-10-14,"Avenida Maria Júlia Carvalho
Vila Primeiro De Maio
65035133 Fogaça / PA",Amapá,Austrália
Sra. Mariana Cavalcanti,910.237.568-03,50,1978-10-10,"Fazenda Vinícius Duarte, 18
Estrela Do Oriente
19867539 Garcia da Mata / ES",Minas Gerais,Roménia
Thomas Cunha,876.324.951-00,51,1991-02-05,"Trevo Mateus Moura, 88
Vila Santa Monica 2ª Seção
85324-538 Albuquerque Paulista / AC",Amapá,Maurícia
Theo Ramos,024.378.169-50,38,1995-12-30,"Aeroporto Alexandre Vasconcelos
Vila Santa Monica 1ª Seção
44900854 Lopes / AC",Ceará,Catar
Guilherme Aparecida,610.592.748-76,56,1967-09-27,"Viaduto de Teixeira, 8
Teixeira Dias
61887042 Nascimento / SC",Bahia,Tunísia
Srta. Liz Barros,174.806.259-01,45,2006-08-09,"Passarela Antônio Pereira, 37
Horto
59795-667 Jesus / RJ",Goiás,Niue
Ísis Nogueira,014.675.832-35,23,1979-04-09,"Praia Maria Júlia Correia, 146
Jardim Do Vale
23735192 Lopes de Peixoto / RN",Distrito Federal,Domínica
Heloísa Cardoso,461.572.839-55,22,2000-09-09,"Rua Maysa Nascimento, 85
Corumbiara
82476-197 Marques de Pimenta / MS",Paraíba,Ilha Wake
Alícia Nascimento,257.804.639-56,59,1982-03-14,"Loteamento Ayla Freitas
Santo Antônio
27285-371 Cavalcanti Verde / PA",Bahia,Polinésia Francesa
Evelyn Moraes,304.816.752-80,46,1965-03-25,"Praia Viana, 20
Cachoeirinha
72534285 Rios / AP",Rio Grande do Sul,Hong Kong
Gabrielly da Mota,458.973.261-00,22,1998-05-04,"Esplanada Silveira, 409
Camponesa 2ª Seção
05398-683 Andrade / RO",Paraíba,Lesoto
Catarina Ramos,754.629.103-80,33,1985-09-16,"Chácara Hadassa Sá, 47
São Francisco
30731-861 Alves das Pedras / RJ",Alagoas,Ruanda
Alícia da Cunha,836.147.925-28,48,1988-08-21,"Rua Benício Nunes, 1
Pedreira Padro Lopes
29632-111 Brito do Sul / MT",Mato Grosso,Guiana
Davi Sales,259.178.340-32,29,1972-12-20,"Morro da Cunha, 70
Vila Nova Gameleira 1ª Seção
08035553 Brito do Oeste / PE",Sergipe,Zâmbia
Juliana Rios,267.405.198-11,49,1992-04-01,"Feira de Alves, 3
Ipiranga
51722-328 Barros / PE",Bahia,Geórgia
Sr. Levi Sales,189.743.205-41,35,2003-04-05,"Campo Anna Liz Freitas, 6
Aeroporto
12305-115 Borges da Prata / RR",Amazonas,Marrocos
Dra. Catarina Aparecida,718.302.954-97,44,1993-03-16,"Parque de Moraes, 2
Santo Agostinho
47524828 Sampaio / SC",Goiás,Domínica
Beatriz Almeida,173.086.249-78,21,2001-05-22,"Rodovia Luana Nunes
Vila Antena Montanhês
84042-668 Casa Grande do Norte / RN",Acre,Mongólia
Francisco Guerra,759.286.430-47,40,1972-06-25,"Condomínio Silva, 56
Bacurau
08281-513 da Mota / RN",Paraíba,Geórgia do Sul e Sandwich do Sul
Sra. Ísis Brito,391.062.784-69,44,1996-05-23,"Sítio de Marques, 2
São Marcos
26169615 Pinto / AL",Pernambuco,Paquistão
Hadassa Moura,137.506.498-39,39,1971-07-04,"Passarela de Albuquerque, 30
Vila Bandeirantes
67650-636 Pereira da Praia / MG",Santa Catarina,Islândia
Luísa Rios,785.240.139-23,27,1988-02-23,"Favela de Sousa, 74
Barro Preto
78638871 Brito / RS",Sergipe,Serra Leoa
Dante Rodrigues,097.184.236-13,25,1992-04-11,"Quadra Joana Novais, 48
Cônego Pinheiro 2ª Seção
38437-478 Silveira de Moura / TO",Mato Grosso,Território Britânico do Oceano Índico
Nina Alves,218.734.560-26,29,1983-12-05,"Viaduto Ágatha Aparecida, 1
Alípio De Melo
08972-824 Castro / PB",Rio de Janeiro,Polônia
Arthur Gabriel Andrade,560.947.128-11,46,1980-04-16,"Viela Monteiro, 23
Santo Antônio
45931405 Andrade / MT",Roraima,Arábia Saudita
Marcelo Siqueira,065.873.142-44,39,1991-04-25,"Viela Daniela Nunes, 11
Santo Agostinho
73737-870 Cardoso dos Dourados / ES",Santa Catarina,Bermudas
Caroline Duarte,508.413.726-08,44,1996-08-06,"Lago Jesus, 73
Conjunto Celso Machado
03948-616 Pastor / RS",Pernambuco,República Checa
Marcela Freitas,360.718.592-12,32,1983-02-06,"Loteamento Teixeira, 48
Vila Madre Gertrudes 3ª Seção
08027-101 Peixoto Grande / RS",Paraíba,Akrotiri
Lorena Leão,725.048.936-47,20,1972-09-20,"Estação de Costa, 5
Vila Formosa
81557-331 Sousa do Norte / PA",Rio Grande do Sul,Jibuti
João Lucas Lima,305.614.982-70,60,1994-07-31,"Pátio Alves, 34
Conjunto Santa Maria
23611-604 Sousa do Campo / PB",São Paulo,Nigéria
Pietro Cardoso,948.032.157-23,33,1978-02-26,"Lago Maitê Rezende, 31
Garças
99264-738 Pacheco / RJ",Sergipe,Cuba
Isabel Silveira,894.561.032-42,19,1982-04-01,"Morro de Aparecida, 79
Cinquentenário
54362-092 Cavalcante da Serra / DF",Mato Grosso,Dhekelia
João Gabriel da Rosa,732.605.914-43,29,1976-02-13,"Viaduto de Gomes, 14
Vila Madre Gertrudes 4ª Seção
48500-175 Sampaio / AL",Mato Grosso,Barbados
Gabriela Leão,389.025.617-12,20,1994-12-29,"Área Monteiro, 5
São Salvador
89668-256 Sales Paulista / PR",Espírito Santo,Uruguai
Isaque Nascimento,126.745.890-94,32,1972-03-21,"Distrito de Abreu, 1
Aarão Reis
68091-283 Nascimento de Cirino / MA",Rondônia,Monserrate
Ester Araújo,426.805.931-89,24,1975-01-18,"Sítio de Lima, 144
Piraja
65502687 Pires / MS",Espírito Santo,Camarões
Nicolas Pires,401.628.935-15,18,2000-09-21,"Viela Rocha
Esplanada
01123122 Cavalcanti de Carvalho / MA",Alagoas,República Dominicana
Luna Fonseca,182.907.354-05,33,2000-03-18,"Viela de Silveira
Jardim Vitoria
83788-213 Castro / MA",Rio de Janeiro,Tunísia
Isaac Rodrigues,263.905.471-61,35,1988-05-10,"Avenida Vitória Moreira, 8
Serra
66668287 Correia da Serra / RS",Mato Grosso do Sul,Nauru
Brayan Vargas,514.982.673-19,49,1990-05-04,"Pátio Allana Albuquerque, 87
Santa Helena
69516-111 Mendonça do Amparo / AM",Rio Grande do Norte,Coral Sea Islands
Julia Albuquerque,516.482.397-73,53,1968-03-09,"Praia Porto, 31
Novo Das Industrias
38232906 Rezende do Campo / TO",Sergipe,Polônia
Maysa da Costa,467.593.821-37,25,1985-05-08,"Colônia Gomes, 163
Fazendinha
20004-102 Silva do Sul / GO",Espírito Santo,Santa Helena
Rafael Lima,470.619.852-67,26,1965-01-22,"Núcleo de Souza
Caetano Furquim
42705808 Novaes de Goiás / RR",Rio Grande do Norte,Camboja
Catarina Casa Grande,042.756.391-70,45,1995-10-11,"Vila de Sampaio, 75
Maria Helena
25041140 Pinto / RN",Minas Gerais,Micronésia
Maria Laura Novais,185.269.043-70,44,1996-02-11,"Via de Andrade, 381
Tupi A
45003-608 Nunes Grande / PE",Alagoas,Gibraltar
Erick Garcia,685.970.341-57,54,2004-03-03,"Distrito Maitê Silva
Aguas Claras
77831-109 Campos Grande / PE",Piauí,Birmânia
Igor Montenegro,451.932.780-60,34,1979-04-30,"Quadra Gonçalves, 137
São Cristóvão
03910-342 Pires / PR",Paraná,Tonga
Sr. José Pedro Carvalho,354.806.297-00,20,1980-10-31,"Praça Costa, 8
Silveira
74802888 Ferreira / MS",Distrito Federal,Zâmbia
Luan Ferreira,283.741.965-64,20,1997-06-25,"Esplanada Nunes, 276
Outro
82532258 Pires / RR",Rio Grande do Sul,Clipperton Island
Júlia Cassiano,302.567.891-77,50,1967-01-26,"Quadra Amanda Azevedo, 86
Alto Das Antenas
14482-207 Pereira / CE",Ceará,Monserrate
Maria Liz da Paz,360.817.259-95,30,1965-03-07,"Núcleo de Nascimento, 1
Santo Antônio
66349-842 Fogaça / MA",Rio Grande do Norte,Croácia
Alícia Garcia,903.158.762-12,43,1978-09-07,"Sítio de Casa Grande, 73
Camargos
62161348 Aragão do Campo / RJ",Espírito Santo,Croácia
Fernanda Costa,694.157.830-01,45,1969-09-13,"Recanto Sophia Duarte, 336
Alto Caiçaras
88739-624 da Luz / ES",Amapá,Quirguizistão
Sra. Luiza Novais,563.749.821-00,48,1999-05-15,"Setor de Moura, 68
Vila Pilar
29670730 da Cunha / GO",Rio Grande do Sul,Eritreia
Stephany Nogueira,538.169.470-93,26,1998-03-31,"Colônia Sophie Cavalcante, 71
Acaiaca
62223-683 Campos / PR",Amapá,Suíça
Maria Julia Fernandes,068.519.327-68,44,1981-02-14,"Núcleo de Macedo, 78
Vila Madre Gertrudes 1ª Seção
51521-358 Pires / PE",Amapá,Japão
Stephany Costa,625.403.798-00,52,1988-10-20,"Setor Mariah Borges
Esplanada
10633026 Lopes / SP",Rio Grande do Sul,São Tomé e Príncipe
Luiz Miguel Cavalcanti,683.175.290-02,52,2006-07-11,"Lagoa de Freitas, 190
Conjunto Taquaril
91739362 das Neves de Sá / SE",Paraíba,Costa do Marfim
Srta. Isabella Barros,235.086.479-00,20,1981-09-28,"Distrito Fonseca, 1
Santa Lúcia
19904-233 Sampaio do Oeste / RN",Santa Catarina,União Europeia
Nina Machado,201.583.496-60,18,1985-01-04,"Morro de Moura, 70
Vila Puc
18707-218 Rodrigues Alegre / DF",Amazonas,Costa Rica
Sra. Maria Cardoso,395.240.871-97,23,1999-01-27,"Via Brito, 55
Fernão Dias
50217092 Cavalcanti da Prata / MT",Espírito Santo,África do Sul
Matheus Lopes,526.980.437-92,32,1965-08-14,"Viela de Brito, 61
Lagoinha Leblon
38253028 Mendes Paulista / RN",Espírito Santo,Bósnia e Herzegovina
Leonardo Nascimento,618.052.947-76,21,1964-12-02,"Viaduto Maria Vitória Machado, 6
Castanheira
87619499 Costela de Pinto / BA",Amapá,Zâmbia
Valentim Jesus,428.971.603-22,51,1969-06-24,"Avenida Rodrigo Alves, 20
Marmiteiros
75505718 Fogaça de Lopes / TO",Distrito Federal,França
Ian Oliveira,934.027.156-43,57,1969-03-17,"Passarela Gonçalves, 53
Universo
58835428 da Rosa de Goiás / AM",Santa Catarina,Costa Rica
Sabrina Pires,213.549.860-24,18,1989-01-24,"Ladeira Lucca Ramos, 34
Boa União 1ª Seção
20849-808 da Rosa / RO",Roraima,Jibuti
Nicole da Cruz,920.873.451-04,60,1988-11-02,"Praia de Melo, 24
Vila Nova Gameleira 2ª Seção
98663-235 Moreira / MG",São Paulo,Arábia Saudita
