name,cpf,age,birthday,address,state
Miguel Leão,509.487.213-32,41,1981-09-21,"favela mathias camargo, 599
lajedo
40704-980 sampaio do norte / mt",ACRE
Bruna Porto,963.780.412-96,56,1974-06-23,"distrito cunha, 87
carmo
74521-561 da mota da serra / pr",RIO GRANDE DO SUL
Nicolas Ramos,415.286.930-51,54,1984-10-28,"via da mata, 4
manacas
36879-163 pastor / sc",ALAGOAS
Arthur Sales,034.759.128-05,26,1967-10-09,"núcleo de freitas
dom silverio
07615-486 mendonça de montenegro / ma",PIAUÍ
Sr. Davi Luiz Gonçalves,652.370.984-10,54,1998-01-06,"núcleo ramos, 47
olhos d'água
37485273 da conceição de minas / am",PIAUÍ
Leonardo Caldeira,456.129.803-70,55,1969-08-01,"lagoa benicio câmara, 562
vila da luz
66348033 mendonça alegre / es",RORAIMA
Sra. Esther Carvalho,870.159.462-11,48,1976-03-16,"praça de cassiano, 80
aparecida
91031873 ribeiro grande / mg",AMAZONAS
Bianca Albuquerque,530.748.296-56,60,1969-08-13,"jardim de albuquerque, 9
vila madre gertrudes 1ª seção
52352557 gomes dos dourados / rr",MATO GROSSO DO SUL
Raquel Jesus,618.753.209-03,41,1970-02-17,"aeroporto da paz, 45
vila são gabriel jacui
97616810 leão / ac",MATO GROSSO
Jade Souza,382.947.160-22,21,1993-02-12,"travessa cecilia moura, 52
acaba mundo
50768-883 souza / sp",SERGIPE
Igor Cavalcanti,519.802.374-41,27,1979-12-13,"favela breno barros, 90
maria virgínia
53687-888 costela / pr",BAHIA
Diogo Pimenta,307.186.594-57,60,2000-02-24,"parque arthur gabriel moraes, 36
graça
69010231 silva / ma",AMAPÁ
Srta. Antonella Freitas,967.348.105-93,57,1977-12-16,"lago sarah melo, 2
joão alfredo
05026730 fogaça / pi",RORAIMA
Luna Silveira,845.716.239-09,49,1986-01-25,"jardim lopes, 3
são lucas
13522205 moura / ac",ALAGOAS
Clarice Da Paz,671.402.358-80,29,1964-06-24,"parque de sá, 111
aarão reis
01951-695 viana dos dourados / to",CEARÁ
Heloísa Da Conceição,093.275.481-32,20,2003-10-01,"feira caldeira, 3
dom cabral
78952-707 lopes de siqueira / pi",MINAS GERAIS
Ana Sophia Da Costa,981.405.762-20,34,1980-06-14,"travessa câmara, 28
vila nossa senhora do rosário
25329125 barbosa do amparo / sp",SÃO PAULO
Diogo Da Luz,478.930.126-50,40,1975-07-19,"aeroporto josué guerra, 98
cônego pinheiro 2ª seção
01205-464 pires de goiás / ro",SANTA CATARINA
Srta. Laís Oliveira,836.420.197-22,58,1973-02-26,"loteamento lima, 76
delta
81017-850 moura / es",ALAGOAS
Cecilia Vargas,429.051.386-70,45,1978-07-23,"lagoa sofia rios, 21
salgado filho
97413428 ferreira do oeste / rn",SERGIPE
Juan Campos,042.376.518-35,52,1979-09-19,"área de cardoso, 5
santa branca
31290264 azevedo alegre / go",RIO DE JANEIRO
Aurora Viana,136.479.502-70,45,1998-03-12,"campo de da mata, 670
lagoinha leblon
58531234 costa do sul / df",PERNAMBUCO
Theodoro Freitas,079.238.516-03,35,1967-08-15,"colônia moreira, 77
itapoa
02495214 oliveira / ap",PIAUÍ
Olívia Das Neves,852.740.361-71,26,2001-04-04,"pátio ravy montenegro, 95
xodo-marize
07034951 rezende paulista / ms",AMAZONAS
Melina Novais,451.920.863-70,42,1977-02-15,"rodovia brayan da cruz, 44
mala e cuia
98005757 carvalho de silveira / rr",BAHIA
