name,cpf,age,birthday,address,neighborhood,state
Miguel Leão,509.***.***-32,43.0,1981-09-21,"favela mathias camargo, 599",lajedo,MT
Bruna Porto,963.***.***-96,50.0,1974-06-23,"distrito cunha, 87",carmo,PR
Nicolas Ramos,415.***.***-51,40.0,1984-10-28,"via da mata, 4",manacas,SC
Arthur Sales,034.***.***-05,58.0,1967-10-09,núcleo de freitas,dom silverio,MA
Sr. Davi Luiz Gonçalves,652.***.***-10,27.0,1998-01-06,"núcleo ramos, 47",olhos d'água,AM
Leonardo Caldeira,456.***.***-70,56.0,1969-08-01,"lagoa benicio câmara, 562",vila da luz,ES
Sra. Esther Carvalho,870.***.***-11,49.0,1976-03-16,"praça de cassiano, 80",aparecida,MG
Bianca Albuquerque,530.***.***-56,56.0,1969-08-13,"jardim de albuquerque, 9",vila madre gertrudes 1ª seção,RR
Raquel Jesus,618.***.***-03,55.0,1970-02-17,"aeroporto da paz, 45",vila são gabriel jacui,AC
Jade Souza,382.***.***-22,32.0,1993-02-12,"travessa cecilia moura, 52",acaba mundo,SP
Igor Cavalcanti,519.***.***-41,46.0,1979-12-13,"favela breno barros, 90",maria virgínia,PR
Diogo Pimenta,307.***.***-57,25.0,2000-02-24,"parque arthur gabriel moraes, 36",graça,MA
Srta. Antonella Freitas,967.***.***-93,47.0,1977-12-16,"lago sarah melo, 2",joão alfredo,PI
Luna Silveira,845.***.***-09,39.0,1986-01-25,"jardim lopes, 3",são lucas,AC
Clarice Da Paz,671.***.***-80,60.0,1964-06-24,"parque de sá, 111",aarão reis,TO
Heloísa Da Conceição,093.***.***-32,22.0,2003-10-01,"feira caldeira, 3",dom cabral,PI
Ana Sophia Da Costa,981.***.***-20,45.0,1980-06-14,"travessa câmara, 28",vila nossa senhora do rosário,SP
Diogo Da Luz,478.***.***-50,49.0,1975-07-19,"aeroporto josué guerra, 98",cônego pinheiro 2ª seção,RO
Srta. Laís Oliveira,836.***.***-22,52.0,1973-02-26,"loteamento lima, 76",delta,ES
Cecilia Vargas,429.***.***-70,46.0,1978-07-23,"lagoa sofia rios, 21",salgado filho,RN
Juan Campos,042.***.***-35,45.0,1979-09-19,"área de cardoso, 5",santa branca,GO
Aurora Viana,136.***.***-70,27.0,1998-03-12,"campo de da mata, 670",lagoinha leblon,DF
Theodoro Freitas,079.***.***-03,57.0,1967-08-15,"colônia moreira, 77",itapoa,AP
Olívia Das Neves,852.***.***-71,24.0,2001-04-04,"pátio ravy montenegro, 95",xodo-marize,MS
Melina Novais,451.***.***-70,48.0,1977-02-15,"rodovia brayan da cruz, 44",mala e cuia,RR
